inverse_theta,profile,noise_profile
8.800631733209395,0.004879725862350203,0.002440407826681867
4.400315866604697,0.00665984697818545,0.002067586530321737
2.9335439110697985,0.00488746028305799,0.0026055104604437917
2.2001579333023487,0.009916274502808537,0.0054204629585848894
1.7601263466418793,0.011749068475790712,0.005489650142267335
1.4667719555348995,0.006618814907862364,0.004525211036494007
1.2572331047441994,0.01170034741614087,0.004560117347783171
1.1000789666511743,0.00883730412992219,0.004302388522710739
0.9778479703565995,0.007070813638645741,0.004233521261803949
0.8800631733209396,0.005018712129690495,0.003383823934193822
0.8000574302917632,0.004138905427137693,0.003707826191207913
0.7333859777674496,0.004657766537903008,0.003981811736201563
0.6769716717853381,0.00536760266211493,0.0038330536815032084
0.6286165523720997,0.005752904865863997,0.004066901914461491
0.5867087822139596,0.005588750237958185,0.0036604495075713605
0.5500394833255872,0.004290559650798464,0.003463012498228951
0.5176842196005527,0.0037253920992315567,0.0037097934729693246
0.48892398517829977,0.003852854095473313,0.0033460342755376685
0.4631911438531261,0.004925159025261178,0.0029166353028020897
0.4400315866604697,0.0036150345854371736,0.0029277263127320094
0.4190777015813998,0.00336286479192355,0.003316820821281621
0.40002871514588156,0.00410722429157623,0.0031753058608475658
0.3826361623134519,0.003679042445882181,0.0027796510248437366
0.3666929888837248,0.0031032928225809154,0.0030289087619535153
0.3520252693283758,0.00340469503419113,0.0030684347388736234
0.338485835892669,0.0030104397457047668,0.0028549230732092088
0.32594932345219985,0.003230366484751586,0.0028753428150424423
0.31430827618604984,0.0034793658341000316,0.0031441771214310056
0.3034700597658411,0.0033006106725978718,0.0029091235604738266
0.2933543911069798,0.0033640749141294075,0.0030721158350416524
0.2838913462325611,0.003086137207697363,0.002780078071417393
0.2750197416627936,0.002939448839473029,0.002627508271838418
0.2666858100972544,0.0028131175092875327,0.002499342646904047
0.25884210980027633,0.002743918378861343,0.0026315893666430624
0.25144662094883985,0.002688778509100689,0.0024634375669057044
0.24446199258914983,0.002776888536218408,0.0024984205142519773
0.23785491170836204,0.002513230604950571,0.002386974966972913
0.23159557192656305,0.002566189344453931,0.002349304297339118
0.225657223928446,0.0026712709188225453,0.0023428708827579817
0.2200157933302349,0.0024714666262604596,0.0022114676081116265
0.21464955446852185,0.002256969675250718,0.0023082176843808567
0.2095388507906999,0.002166056198421185,0.002107243733085523
0.20466585426068362,0.0021723955553650696,0.0022126116163941173
0.2000143575729408,0.0022988156568220968,0.0020100317725146094
0.19556959407131988,0.002065595910251684,0.0019288360952724258
0.191318081156726,0.0021954920549258116,0.0020242764860208726
0.1872474836853063,0.0020880467024824755,0.0020460256755239284
0.1833464944418624,0.0020372500234044646,0.0019785822205910827
0.17960472924917134,0.002015781794057736,0.0017758906759988776
0.17601263466418793,0.0016765668907626828,0.0018040549412461115
0.17256140653351756,0.0019232148707096486,0.0018411406218663304
0.16924291794633453,0.0019813608547514846,0.001669667843232494
0.1660496553435735,0.0017328485544594984,0.0016600658991561244
0.16297466172609992,0.0016923823625013567,0.0017110357545101716
0.16001148605835264,0.0017433562712677916,0.0016947908608847923
0.15715413809302492,0.0019146668240945966,0.0014579064959799465
0.15439704795104203,0.0016906178657608776,0.0015258612621711861
0.1517350298829206,0.001557902184348738,0.001476184911883171
0.14916324971541348,0.0015486384490355242,0.0014361634144139197
0.14667719555348993,0.0015322021562948508,0.0013472035535265243
0.14427265136408843,0.0014782315417961132,0.0013867900169201087
0.1419456731162806,0.0014287126517235735,0.0013959717018160016
0.13969256719379994,0.001380930090938488,0.0013409590969597114
0.1375098708313968,0.0013353778147291067,0.0013253434579715625
0.13539433435706763,0.0012716268847737435,0.0012026435072288828
0.13334290504862722,0.0013495385343809299,0.0012798887819531009
0.1313527124359611,0.0012458061648480032,0.001186198735535013
0.12942105490013817,0.0012809094569498109,0.001262313348200251
0.12754538743781732,0.0011457470801592283,0.0012133629799649065
0.12572331047441992,0.001196055092149213,0.001161968077881411
0.12395255962266755,0.0010837430954181416,0.0011129717814624535
0.12223099629457494,0.0012007557687437303,0.0010650493023168501
0.12055659908506021,0.001083404566466052,0.001030421650860023
0.11892745585418102,0.0010170478811334517,0.0010695936708949476
0.11734175644279195,0.0011023464056516483,0.0010691891021403527
0.11579778596328152,0.0010538114798321874,0.0010666495162240893
0.11429391861310903,0.0010341698721102286,0.0009985848015863917
0.11282861196422302,0.0010550080901138965,0.000942298062015101
0.11140040168619487,0.0009995364522816005,0.0009511341222757003
0.11000789666511743,0.0009522954075815343,0.000980758047615588
0.10864977448406661,0.0008920130185291583,0.0009250903924419709
0.10732477723426091,0.0009101807632714813,0.0009240876219038318
0.10603170762902885,0.0009613531292796869,0.0009323450444000956
0.10476942539534995,0.0008512252511782662,0.0009083362438447224
0.10353684392011053,0.0008599066574811778,0.0008101933630078257
0.10233292713034178,0.0008709552182046663,0.0008522035387675505
0.10115668658861374,0.0008332828867079888,0.0008756413171118499
0.10000717878647039,0.0008779206106320268,0.0008554447971627765
0.09888350262033027,0.0008484031967730611,0.0008240102206798835
0.09778479703565994,0.000811856192354576,0.0008796568402367283
0.09671023882647686,0.0008899417076073523,0.0007942788220496971
0.09565904057836297,0.0008262869800699595,0.0008654768605066924
0.09463044874418704,0.0007864306582691958,0.0007888517997029259
0.09362374184265314,0.0007759163932522389,0.0008456911042413702
0.09263822877062519,0.0007593469858060186,0.000772042604025426
0.0916732472209312,0.0007796734567487052,0.0007401092727956083
0.09072816219803499,0.0007643564769453522,0.0007892108007301388
0.08980236462458566,0.0008061778331646096,0.0007562520901930473
